cell_id,protocol_id,replicate_id,protocol_type,protocol_variant,efc_lifetime,cycles_90,average_current,normalized_current_variance,maximum_discharge_current,relative_charge_fraction,rest_fraction_at_high_soc,rest_soc,peak_frequency_1,peak_frequency_2
cell_009,CC_(no_storage)_Co5,A,CC,(no storage),552.447676,609.0272335,0.19998325742164902,1.2259787584738617e-08,0.2013046463699999,0.0,0.0,0.0,0.00012275214837065,0.0002455042967414
cell_010,CC_(no_storage)_Co5,B,CC,(no storage),559.2829139,616.934852,0.19998325742164902,1.2259787584738617e-08,0.2013046463699999,0.0,0.0,0.0,0.00012275214837065,0.0002455042967414
cell_091,Drive_City1_Co10,A,Drive,City1,534.7362818,555.8402944,0.08615938263229975,0.18218530557227636,1.261394595953312,0.1407380572413267,0.0025423873464246504,0.6363982767055372,5.5723500003848785e-05,0.00011144700000765
cell_092,Drive_City1_Co10,B,Drive,City1,554.3564128,576.974573,0.08615938263229975,0.18218530557227636,1.261394595953312,0.1407380572413267,0.0025423873464246504,0.6363982767055372,5.5723500003848785e-05,0.00011144700000765
cell_089,Drive_City1_Co16,A,Drive,City1,562.4923141,729.4220501,0.0574611694261817,0.13181234284165386,0.872937731395031,0.1409712617181496,0.00657753188873515,0.7543961783424721,5.122688386865427e-05,0.0001024537677373
cell_090,Drive_City1_Co16,B,Drive,City1,538.1390456,700.5167973,0.0574611694261817,0.13181234284165386,0.872937731395031,0.1409712617181496,0.00657753188873515,0.7543961783424721,5.122688386865427e-05,0.0001024537677373
cell_095,Drive_City2_Co10,A,Drive,City2,476.2634307,503.4276276,0.09335971918322311,0.0899014144959158,0.8824350567397146,0.07545742854195431,0.00113723655297105,0.49201429616284753,5.794833906789376e-05,0.0001158966781357
cell_096,Drive_City2_Co10,B,Drive,City2,489.4908403,521.4295913,0.09335971918322311,0.0899014144959158,0.8824350567397146,0.07545742854195431,0.00113723655297105,0.49201429616284753,5.794833906789376e-05,0.0001158966781357
cell_093,Drive_City2_Co16,A,Drive,City2,511.0566177,702.8799585,0.059404016400379706,0.0618181270909758,0.5880442449372734,0.07810034333686175,0.00391206688636465,0.674941982144569,5.268773306084108e-05,0.0001053754661216
cell_094,Drive_City2_Co16,B,Drive,City2,557.3342798,766.7532492,0.059404016400379706,0.0618181270909758,0.5880442449372734,0.07810034333686175,0.00391206688636465,0.674941982144569,5.268773306084108e-05,0.0001053754661216
cell_025,Periodic_A_Co10,A,Periodic,A,501.6962405,524.2291515,0.10075335033055599,0.2190887094251607,0.3012723735456475,0.06885563432677355,0.25844681048967144,0.5525728248710163,0.0024786602894701,0.00498830383255855
cell_026,Periodic_A_Co10,B,Periodic,A,509.7293568,539.5310312,0.10075335033055599,0.2190887094251607,0.3012723735456475,0.06885563432677355,0.25844681048967144,0.5525728248710163,0.0024786602894701,0.00498830383255855
cell_041,Periodic_A_Co2,A,Periodic,A,623.1829979,772.9105144,0.5106488898032813,0.9883211012996427,1.501411535738567,0.06414351271591989,0.24891146996490585,0.5482182797979397,0.00219409438949905,0.002362870880999
cell_042,Periodic_A_Co2,B,Periodic,A,651.5926878,815.7827921,0.5106488898032813,0.9883211012996427,1.501411535738567,0.06414351271591989,0.24891146996490585,0.5482182797979397,0.00219409438949905,0.002362870880999
cell_033,Periodic_A_Co5,A,Periodic,A,589.5513109,667.536131,0.20167794570018685,0.41351831042796816,0.601247424960344,0.06671537591831965,0.24580369570972543,0.5520788660951461,0.0024142312969203496,0.0048284625938408
