cell_id,recipe_id,partition,discharge_specific_capacity_cycle30_mah_g,cell_capacity_mah,active_mass_mg,electrode_thickness_um,porosity_pct,coating_speed_m_per_min,coating_gap_um,drying_temperature_c,calendering_applied,active_material_fraction_pct,binder_cmc_fraction_pct,binder_sbr_fraction_pct,conductive_additive_fraction_pct,mixing_solids_pct
ASC-74,protocol-f4f7ce9330b4,PROSPECTIVE_MODEL_VALIDATION,,6.66563831124252,17.91838255710355,119.9,55.53,0.2,200.0,70.0,0.0,95.20925907068835,1.5090489025054978,2.275388913546235,1.0063031132599178,49.5
ASC-75,protocol-f4f7ce9330b4,PROSPECTIVE_MODEL_VALIDATION,60.0603638413372,6.5523012092447726,17.613712928077344,117.0,55.13,0.2,200.0,70.0,0.0,95.20925907068835,1.5090489025054978,2.275388913546235,1.0063031132599178,49.5
ASC-76,protocol-ee2af7cf9785,PROSPECTIVE_MODEL_VALIDATION,,6.499174442683328,17.470899039471313,78.2,30.55,0.2,200.0,70.0,1.0,95.20925907068835,1.5090489025054978,2.275388913546235,1.0063031132599178,49.5
ASC-77,protocol-ee2af7cf9785,PROSPECTIVE_MODEL_VALIDATION,217.05318963141755,6.75064113774083,18.1468847788732,79.0,28.63,0.2,200.0,70.0,1.0,95.20925907068835,1.5090489025054978,2.275388913546235,1.0063031132599178,49.5
ASC-78,protocol-ee2af7cf9785,PROSPECTIVE_MODEL_VALIDATION,90.58502026225794,6.736473999991112,18.108801075244926,78.3,28.07,0.2,200.0,70.0,1.0,95.20925907068835,1.5090489025054978,2.275388913546235,1.0063031132599178,49.5
ASC-67,protocol-d11da8063996,PROSPECTIVE_MODEL_VALIDATION,87.53503039738611,7.250032743418405,19.489335331769908,128.2,54.93,0.2,200.0,80.0,0.0,95.20925907068835,1.5090489025054978,2.275388913546235,1.0063031132599178,49.5
ASC-68,protocol-d11da8063996,PROSPECTIVE_MODEL_VALIDATION,255.46599115505714,6.924188575174882,18.613410148319577,121.2,54.31,0.2,200.0,80.0,0.0,95.20925907068835,1.5090489025054978,2.275388913546235,1.0063031132599178,49.5
ASC-69,protocol-d11da8063996,PROSPECTIVE_MODEL_VALIDATION,,7.016274970548051,18.860954221903363,123.5,54.62,0.2,200.0,80.0,0.0,95.20925907068835,1.5090489025054978,2.275388913546235,1.0063031132599178,49.5
ASC-70,protocol-24f5e9663c2b,PROSPECTIVE_MODEL_VALIDATION,,6.871061808613439,18.470596259713545,76.0,24.08,0.2,200.0,80.0,1.0,95.20925907068835,1.5090489025054978,2.275388913546235,1.0063031132599178,49.5
ASC-71,protocol-24f5e9663c2b,PROSPECTIVE_MODEL_VALIDATION,,5.096627805461205,13.700612380272055,59.2,25.36,0.2,200.0,80.0,1.0,95.20925907068835,1.5090489025054978,2.275388913546235,1.0063031132599178,49.5
