Library,Area,i_lim [A/cm^2],k^0 [cm/s],alpha [a.u.]
Ir-rich,99,7.372934502625733,0.0050969897089469,0.2611004496084428
Ir-rich,75,7.433022141163396,0.0067726354168022,0.2842982784986009
Ir-rich,272,7.552078421591656,0.0084574935197319,0.2629839894483359
Ir-rich,95,7.207393778156444,0.005044458428019,0.2569610927895053
Ir-rich,63,7.4459340071858335,0.0049812880288009,0.2667216452694146
Ir-rich,191,7.608990578846571,0.0069409304152698,0.2687184093743305
Ir-rich,321,7.549394613923311,0.0072627231012273,0.277200715641484
Ir-rich,111,7.41628943000465,0.0065032462326043,0.2881265495604431
Ir-rich,15,7.2965861011132205,0.0037262935177317,0.2745497085335794
Ir-rich,225,7.538419366437436,0.0068846161750521,0.2471491510230689
Ir-rich,167,7.579870848466989,0.0062225163913383,0.2632209672002897
Ir-rich,87,7.474299673310361,0.0058949350168349,0.2755501507221985
Ir-rich,239,7.48809968877596,0.0102901137575119,0.276209755873475
Ir-rich,267,7.558322561428876,0.0067892126707907,0.2584952881024023
Ir-rich,336,7.803974318866682,0.0047825827522221,0.2617703479425159
Ir-rich,141,7.4424837398991235,0.0055174587734106,0.2599436680291903
Ir-rich,3,7.365859464428595,0.0030496300925836,0.2765112507773954
Ir-rich,31,7.523803710746439,0.0046640257500195,0.2690864468029934
Ir-rich,173,7.611456395490154,0.008077760231883,0.2704729247345131
Ir-rich,207,7.512154070692111,0.0060932450504988,0.2628513422161859
Ir-rich,77,7.321708316933563,0.0042591122589267,0.2650797517031067
Ir-rich,181,7.534103054841744,0.0067403321950808,0.2430274328456021
Ir-rich,314,7.8114709381026755,0.0059334152477855,0.2512763218068291
Ir-rich,261,7.694203690284321,0.0066550999165706,0.2374336082161275
Ir-rich,8,7.237501114748763,0.0045120075875866,0.2811525266624224
Ir-rich,37,7.457334851621339,0.0065119199263507,0.2756725996560414
Ir-rich,256,7.567263836427413,0.0093775640287574,0.2701496902060605
Ir-rich,84,7.448765005977267,0.0047438378745882,0.2776679660379758
Ir-rich,122,7.512846833414784,0.0057604471352834,0.2629295692318154
Ir-rich,233,7.62564573529359,0.0080632022947519,0.2642582278938057
Ir-rich,196,7.517181403891624,0.0091021283058437,0.2796181290184543
Ir-rich,90,7.508419618598571,0.0063308871030791,0.2805867355900653
Ir-rich,270,7.534845314940598,0.0078018986216671,0.2673892843151505
Rh-rich,214,7.844049614589486,0.0039307507039215,0.2913366928706605
Rh-rich,331,7.8422055470588,0.0029730350630887,0.2765554867084516
Rh-rich,284,7.957837664988577,0.0015723716594997,0.2842829296004407
Rh-rich,98,8.100946697229745,0.0017512480787874,0.2705966878208989
Rh-rich,182,8.254034319712462,0.0013663926609598,0.2791172995971131
Rh-rich,187,8.091158260979144,0.0024462754259749,0.2770910070823641
Rh-rich,257,7.667090475778177,0.0048421939684794,0.2921405113031635
Rh-rich,220,7.485726256558673,0.0062847882854128,0.298684506634476
Rh-rich,95,8.135821777552506,0.0012858455678496,0.2732006697268077
Rh-rich,153,7.620871204116662,0.0052406055289662,0.2882824272883043
Rh-rich,190,7.90244808227993,0.0033467826298422,0.2819008938310003
Rh-rich,42,8.004710263001707,0.0026978788888363,0.2527134110596424
Rh-rich,252,7.990334948843339,0.0035075404086011,0.2743261195663996
Rh-rich,327,8.038467879228453,0.0016611357294326,0.2811451147141586
Rh-rich,88,7.742342901069536,0.0042478791456355,0.2776919237399825
Rh-rich,157,7.398666601693224,0.0064368488740623,0.2956582138960933
Rh-rich,83,7.896930609967936,0.0028343512141998,0.2719465378318154
Rh-rich,140,8.22188875220856,0.0015988085025423,0.2739004254972505
Rh-rich,321,7.768179599047581,0.0038070776055484,0.28203883201565
Rh-rich,335,7.724262786768705,0.0038507766633244,0.2929153248349245
Rh-rich,263,8.03252048691226,0.0009146452899956,0.2968018390030819
Rh-rich,164,8.176386788094218,0.0021620910561946,0.2724213999959181
Rh-rich,268,8.035645042098853,0.0021958312178771,0.2798240415875244
Rh-rich,110,7.545894569254568,0.0046806282275413,0.2876391829314639
Rh-rich,305,7.953992309999775,0.0030081100425681,0.281227698177021
Rh-rich,294,7.690407669829104,0.0046238461954473,0.293665206634529
Au-rich,154,7.252388924914729,0.0122724589444885,0.3136414914830145
Au-rich,218,7.076976406034631,0.0112609566880539,0.3120311301398406
Au-rich,170,7.10894947956847,0.0142014497462072,0.3076595257037642
