budget,initial_protocols,queries,seed,strategy,final_best_seen,final_simple_regret,regret_auc,hit_top_10_pct,hit_top_5_pct,queries_to_top_10_pct,queries_to_top_5_pct
8,5,3,21,greedy,709.44713095,140.29353785000012,159.0642055625001,1,0,3,4
8,5,3,21,gp_ucb,709.44713095,140.29353785000012,159.0642055625001,1,0,3,4
8,5,3,22,random,849.7406688000001,0.0,0.0,1,1,0,0
8,5,3,22,greedy,849.7406688000001,0.0,0.0,1,1,0,0
8,5,3,22,gp_ucb,849.7406688000001,0.0,0.0,1,1,0,0
8,5,3,23,random,647.8371267499999,201.90354205000017,201.90354205000017,0,0,4,4
8,5,3,23,greedy,849.7406688000001,0.0,151.42765653750013,1,1,3,3
8,5,3,23,gp_ucb,849.7406688000001,0.0,151.42765653750013,1,1,3,3
8,5,3,24,random,627.1302800999999,222.61038870000016,222.61038870000016,0,0,4,4
8,5,3,24,greedy,627.1302800999999,222.61038870000016,222.61038870000016,0,0,4,4
8,5,3,24,gp_ucb,627.1302800999999,222.61038870000016,222.61038870000016,0,0,4,4
8,5,3,25,random,647.8371267499999,201.90354205000017,231.49575155000014,0,0,4,4
8,5,3,25,greedy,588.65270775,261.0879610500001,261.0879610500001,0,0,4,4
8,5,3,25,gp_ucb,698.60639685,151.13427195000008,206.1111165000001,1,0,2,4
8,5,3,26,random,684.419574,165.32109480000008,165.32109480000008,0,0,4,4
8,5,3,26,greedy,684.419574,165.32109480000008,165.32109480000008,0,0,4,4
8,5,3,26,gp_ucb,709.44713095,140.29353785000012,159.0642055625001,1,0,3,4
8,5,3,27,random,684.419574,165.32109480000008,165.32109480000008,0,0,4,4
8,5,3,27,greedy,684.419574,165.32109480000008,165.32109480000008,0,0,4,4
8,5,3,27,gp_ucb,684.419574,165.32109480000008,165.32109480000008,0,0,4,4
8,5,3,28,random,709.44713095,140.29353785000012,140.29353785000012,1,0,0,4
8,5,3,28,greedy,709.44713095,140.29353785000012,140.29353785000012,1,0,0,4
8,5,3,28,gp_ucb,849.7406688000001,0.0,95.47412817500009,1,1,0,2
8,5,3,29,random,849.7406688000001,0.0,0.0,1,1,0,0
8,5,3,29,greedy,849.7406688000001,0.0,0.0,1,1,0,0
8,5,3,29,gp_ucb,849.7406688000001,0.0,0.0,1,1,0,0
8,5,3,30,random,709.44713095,140.29353785000012,140.29353785000012,1,0,0,4
8,5,3,30,greedy,748.4312318,101.30943700000012,111.05546221250012,1,1,0,1
8,5,3,30,gp_ucb,748.4312318,101.30943700000012,111.05546221250012,1,1,0,1
8,5,3,31,random,748.4312318,101.30943700000012,101.30943700000012,1,1,0,0
8,5,3,31,greedy,849.7406688000001,0.0,50.65471850000006,1,1,0,0
8,5,3,31,gp_ucb,849.7406688000001,0.0,50.65471850000006,1,1,0,0
8,5,3,32,random,686.5946031000001,163.1460657,163.1460657,0,0,4,4
8,5,3,32,greedy,686.5946031000001,163.1460657,163.1460657,0,0,4,4
8,5,3,32,gp_ucb,849.7406688000001,0.0,122.359549275,1,1,3,3
8,5,3,33,random,709.44713095,140.29353785000012,140.29353785000012,1,0,0,4
8,5,3,33,greedy,849.7406688000001,0.0,70.14676892500006,1,1,0,2
