step,strategy,best_seen,simple_regret,hit_top_10_pct,hit_top_5_pct,queried_protocol_id,seed
2,gp_ucb,748.4312318,101.30943700000012,1,1,CC_(100%_storage)_Co2,5
3,gp_ucb,748.4312318,101.30943700000012,1,1,Synthetic_2b_Co2,5
4,gp_ucb,748.4312318,101.30943700000012,1,1,Synthetic_3_Co5,5
5,gp_ucb,849.7406688000001,0.0,1,1,Synthetic_2a_Co2,5
6,gp_ucb,849.7406688000001,0.0,1,1,Synthetic_2a_Co5,5
7,gp_ucb,849.7406688000001,0.0,1,1,Periodic_D_Co2,5
8,gp_ucb,849.7406688000001,0.0,1,1,Periodic_D_Co5,5
9,gp_ucb,849.7406688000001,0.0,1,1,Periodic_A_Co2,5
10,gp_ucb,849.7406688000001,0.0,1,1,Synthetic_1a_Co5,5
11,gp_ucb,849.7406688000001,0.0,1,1,Synthetic_1b_Co10,5
12,gp_ucb,849.7406688000001,0.0,1,1,Synthetic_2a_Co10,5
13,gp_ucb,849.7406688000001,0.0,1,1,CC_(no_storage)_Co2,5
14,gp_ucb,849.7406688000001,0.0,1,1,Periodic_B_Co2,5
15,gp_ucb,849.7406688000001,0.0,1,1,Periodic_E_Co2,5
0,random,602.9841460499999,246.75652275000016,0,0,,6
1,random,602.9841460499999,246.75652275000016,0,0,CC_(50%_storage)_Co10,6
2,random,602.9841460499999,246.75652275000016,0,0,Synthetic_2b_Co5,6
3,random,602.9841460499999,246.75652275000016,0,0,Periodic_E_Co5,6
4,random,602.9841460499999,246.75652275000016,0,0,Periodic_D_Co10,6
5,random,602.9841460499999,246.75652275000016,0,0,CC_(5%_storage)_Co10,6
6,random,602.9841460499999,246.75652275000016,0,0,Drive_City2_Co16,6
7,random,637.38784285,212.35282595000012,0,0,Periodic_A_Co2,6
8,random,637.38784285,212.35282595000012,0,0,Periodic_A_Co5,6
9,random,748.4312318,101.30943700000012,1,1,Synthetic_2c_Co2,6
10,random,748.4312318,101.30943700000012,1,1,Drive_City1_Co10,6
11,random,748.4312318,101.30943700000012,1,1,Synthetic_1b_Co10,6
12,random,748.4312318,101.30943700000012,1,1,Synthetic_3_Co10,6
13,random,748.4312318,101.30943700000012,1,1,CC_(100%_storage)_Co10,6
14,random,748.4312318,101.30943700000012,1,1,CC_(5%_storage)_Co2,6
15,random,748.4312318,101.30943700000012,1,1,Synthetic_2a_Co5,6
0,greedy,602.9841460499999,246.75652275000016,0,0,,6
1,greedy,602.9841460499999,246.75652275000016,0,0,Periodic_D_Co10,6
2,greedy,627.1302800999999,222.61038870000016,0,0,Periodic_C_Co5,6
3,greedy,627.1302800999999,222.61038870000016,0,0,Periodic_E_Co5,6
4,greedy,637.38784285,212.35282595000012,0,0,Periodic_A_Co2,6
5,greedy,644.5142754,205.22639340000012,0,0,Periodic_B_Co2,6
6,greedy,644.5142754,205.22639340000012,0,0,Periodic_E_Co2,6
7,greedy,644.5142754,205.22639340000012,0,0,Periodic_C_Co2,6
8,greedy,684.419574,165.32109480000008,0,0,Periodic_D_Co2,6
9,greedy,709.4786504,140.2620184000001,1,1,Synthetic_1a_Co5,6
10,greedy,709.4786504,140.2620184000001,1,1,Synthetic_3_Co5,6
11,greedy,849.7406688000001,0.0,1,1,Synthetic_2a_Co2,6
12,greedy,849.7406688000001,0.0,1,1,Synthetic_2a_Co5,6
13,greedy,849.7406688000001,0.0,1,1,Synthetic_2b_Co2,6
14,greedy,849.7406688000001,0.0,1,1,Synthetic_2c_Co2,6
15,greedy,849.7406688000001,0.0,1,1,Synthetic_2c_Co5,6
0,gp_ucb,602.9841460499999,246.75652275000016,0,0,,6
1,gp_ucb,602.9841460499999,246.75652275000016,0,0,Periodic_D_Co10,6
2,gp_ucb,627.1302800999999,222.61038870000016,0,0,Periodic_C_Co5,6
3,gp_ucb,627.1302800999999,222.61038870000016,0,0,Periodic_E_Co5,6
4,gp_ucb,637.38784285,212.35282595000012,0,0,Periodic_A_Co2,6
5,gp_ucb,644.5142754,205.22639340000012,0,0,Periodic_B_Co2,6
6,gp_ucb,644.5142754,205.22639340000012,0,0,Periodic_E_Co2,6
7,gp_ucb,684.419574,165.32109480000008,0,0,Periodic_D_Co2,6
8,gp_ucb,684.419574,165.32109480000008,0,0,Periodic_C_Co2,6
9,gp_ucb,709.44713095,140.29353785000012,1,0,Synthetic_2b_Co2,6
10,gp_ucb,748.4312318,101.30943700000012,1,1,Synthetic_2c_Co2,6
11,gp_ucb,748.4312318,101.30943700000012,1,1,Synthetic_2c_Co5,6
12,gp_ucb,849.7406688000001,0.0,1,1,Synthetic_2a_Co2,6
13,gp_ucb,849.7406688000001,0.0,1,1,Synthetic_3_Co5,6
14,gp_ucb,849.7406688000001,0.0,1,1,Synthetic_2a_Co5,6
15,gp_ucb,849.7406688000001,0.0,1,1,CC_(no_storage)_Co2,6
0,random,849.7406688000001,0.0,1,1,,7
1,random,849.7406688000001,0.0,1,1,Periodic_A_Co5,7
2,random,849.7406688000001,0.0,1,1,Synthetic_2a_Co10,7
3,random,849.7406688000001,0.0,1,1,CC_(100%_storage)_Co10,7
4,random,849.7406688000001,0.0,1,1,Periodic_C_Co10,7
5,random,849.7406688000001,0.0,1,1,Drive_City1_Co16,7
6,random,849.7406688000001,0.0,1,1,CC_(no_storage)_Co5,7
7,random,849.7406688000001,0.0,1,1,Synthetic_2b_Co2,7
8,random,849.7406688000001,0.0,1,1,Synthetic_1a_Co10,7
9,random,849.7406688000001,0.0,1,1,Drive_City2_Co16,7
10,random,849.7406688000001,0.0,1,1,Drive_City2_Co10,7
11,random,849.7406688000001,0.0,1,1,Periodic_A_Co10,7
12,random,849.7406688000001,0.0,1,1,Periodic_E_Co10,7
13,random,849.7406688000001,0.0,1,1,Synthetic_1b_Co16,7
14,random,849.7406688000001,0.0,1,1,Synthetic_1b_Co10,7
